eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
C42,68.8%,54.66%,161,88
D49,8.97%,33.33%,21,7
D27,8.97%,23.81%,21,5
D35,5.98%,64.29%,14,9
A50,3.42%,37.5%,8,3
A20,1.71%,50.0%,4,2
D45,1.28%,100.0%,3,3
D14,0.43%,100.0%,1,1
D73,0.43%,100.0%,1,1
