eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B00,96.33%,100.0%,289,289
A40,2.0%,100.0%,6,6
A04,1.33%,100.0%,4,4
A00,0.33%,100.0%,1,1
