eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B40,21.0,17.46031746031746,63,11
C07,14.000000000000002,14.285714285714285,42,6
B52,10.333333333333334,9.67741935483871,31,3
B90,10.0,30.0,30,9
B43,7.000000000000001,14.285714285714285,21,3
C08,6.0,16.666666666666664,18,3
B51,4.666666666666667,7.142857142857142,14,1
C02,4.0,33.33333333333333,12,4
B80,3.0,11.11111111111111,9,1
C01,2.666666666666667,0.0,8,
C65,2.3333333333333335,28.57142857142857,7,2
B48,2.0,50.0,6,3
B50,1.3333333333333335,25.0,4,1
B33,1.3333333333333335,25.0,4,1
C41,1.0,33.33333333333333,3,1
E04,1.0,0.0,3,
C83,1.0,0.0,3,
C67,1.0,0.0,3,
B44,1.0,0.0,3,
C42,0.6666666666666667,0.0,2,
B62,0.6666666666666667,50.0,2,1
B22,0.6666666666666667,0.0,2,
B45,0.6666666666666667,0.0,2,
B56,0.33333333333333337,0.0,1,
C53,0.33333333333333337,0.0,1,
E00,0.33333333333333337,100.0,1,1
C78,0.33333333333333337,0.0,1,
D37,0.33333333333333337,0.0,1,
E17,0.33333333333333337,0.0,1,
C45,0.33333333333333337,0.0,1,
C80,0.33333333333333337,0.0,1,
