eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
C42,91.0%,69.96%,273,191
D49,4.33%,84.62%,13,11
D27,2.33%,100.0%,7,7
C43,1.67%,100.0%,5,5
A20,0.33%,0.0%,1,
D45,0.33%,0.0%,1,
